NULL,الفاتحة,1,1,1,1,0.17,NULL,NULL
NULL,البقرة,2,1,49,1,7.95,NULL,NULL
NULL,آل عمران,50,1,76,1,4.47,NULL,NULL
NULL,النساء,77,1,106,0.39,4.84,NULL,NULL
NULL,المائدة,106,0.61,127,1,3.6,NULL,NULL
NULL,الأنعام,128,1,150,1,3.81,NULL,NULL
NULL,الأعراف,151,1,176,1,4.3,NULL,NULL
NULL,الأنفال,177,1,186,1,1.66,NULL,NULL
NULL,التوبة,187,1,207,1,3.48,NULL,NULL
NULL,يونس,208,1,221,0.46,2.24,NULL,NULL
NULL,هود,221,0.54,235,0.61,2.32,NULL,NULL
NULL,يوسف,235,0.39,248,1,2.24,NULL,NULL
NULL,الرعد,249,1,255,0.15,1.03,NULL,NULL
NULL,إبراهيم,255,0.85,261,1,1.12,NULL,NULL
NULL,الحجر,262,1,267,0.46,0.91,NULL,NULL
NULL,النحل,267,0.54,281,1,2.4,NULL,NULL
NULL,الإسراء,282,1,293,0.7,1.95,NULL,NULL
NULL,الكهف,293,0.3,304,1,1.86,NULL,NULL
NULL,مريم,305,1,312,0.3,1.2,NULL,NULL
NULL,طه,312,0.7,321,1,1.61,NULL,NULL
NULL,الأنبياء,322,1,331,1,1.66,NULL,NULL
NULL,الحج,332,1,341,1,1.66,NULL,NULL
NULL,المؤمنون,342,1,349,1,1.32,NULL,NULL
NULL,النور,350,1,359,0.77,1.61,NULL,NULL
NULL,الفرقان,359,0.23,366,1,1.2,NULL,NULL
NULL,الشعراء,367,1,376,1,1.66,NULL,NULL
NULL,النمل,377,1,385,0.54,1.41,NULL,NULL
NULL,القصص,385,0.46,396,0.54,1.82,NULL,NULL
NULL,العنكبوت,396,0.46,404,0.7,1.37,NULL,NULL
NULL,الروم,404,0.3,410,1,1.03,NULL,NULL
NULL,لقمان,411,1,414,1,0.66,NULL,NULL
NULL,السجدة,415,1,417,1,0.5,NULL,NULL
NULL,الأحزاب,418,1,427,1,1.66,NULL,NULL
NULL,سبأ,428,1,434,0.54,1.08,NULL,NULL
NULL,فاطر,434,0.46,440,0.23,0.95,NULL,NULL
NULL,يس,440,0.77,445,1,0.95,NULL,NULL
NULL,الصافات,446,1,452,1,1.16,NULL,NULL
NULL,ص,453,1,458,0.23,0.87,NULL,NULL
NULL,الزمر,458,0.77,467,0.15,1.49,NULL,NULL
NULL,غافر,467,0.85,476,1,1.61,NULL,NULL
NULL,فصلت,477,1,482,1,0.99,NULL,NULL
NULL,الشورى,483,1,489,0.3,1.03,NULL,NULL
NULL,الزخرف,489,0.7,495,1,1.12,NULL,NULL
NULL,الدخان,496,1,498,1,0.5,NULL,NULL
NULL,الجاثية,499,1,502,0.46,0.58,NULL,NULL
NULL,الأحقاف,502,0.54,506,1,0.75,NULL,NULL
NULL,محمد,507,1,510,1,0.66,NULL,NULL
NULL,الفتح,511,1,515,0.46,0.75,NULL,NULL
NULL,الحجرات,515,0.54,517,1,0.41,NULL,NULL
NULL,ق,518,1,520,0.85,0.46,NULL,NULL
NULL,الذاريات,520,0.15,523,0.54,0.46,NULL,NULL
NULL,الطور,523,0.46,525,1,0.41,NULL,NULL
NULL,النجم,526,1,528,0.61,0.41,NULL,NULL
NULL,القمر,528,0.39,531,0.3,0.46,NULL,NULL
NULL,الرحمن,531,0.7,534,0.54,0.54,NULL,NULL
NULL,الواقعة,534,0.46,537,0.77,0.54,NULL,NULL
NULL,الحديد,537,0.23,541,1,0.7,NULL,NULL
NULL,المجادلة,542,1,545,0.46,0.58,NULL,NULL
NULL,الحشر,545,0.54,548,1,0.58,NULL,NULL
NULL,الممتحنة,549,1,551,0.46,0.41,NULL,NULL
NULL,الصف,551,0.54,552,1,0.25,NULL,NULL
NULL,الجمعه,553,1,554,0.46,0.25,NULL,NULL
NULL,المنافقون,554,0.54,555,1,0.25,NULL,NULL
NULL,التغابن,556,1,557,1,0.33,NULL,NULL
NULL,الطلاق,558,1,559,1,0.33,NULL,NULL
NULL,التحريم,560,1,561,1,0.33,NULL,NULL
NULL,الملك,562,1,564,0.39,0.37,NULL,NULL
NULL,القلم,564,0.61,566,0.61,0.41,NULL,NULL
NULL,الحاقة,566,0.39,568,0.61,0.33,NULL,NULL
NULL,المعارج,568,0.39,570,0.3,0.25,NULL,NULL
NULL,نوح,570,0.7,571,1,0.29,NULL,NULL
NULL,الجن,572,1,573,1,0.33,NULL,NULL
NULL,المزمل,574,1,575,0.54,0.25,NULL,NULL
NULL,المدثر,575,0.46,577,0.39,0.29,NULL,NULL
NULL,القيامة,577,0.61,578,0.61,0.25,NULL,NULL
NULL,الإنسان,578,0.39,580,0.46,0.29,NULL,NULL
NULL,المرسلات,580,0.54,581,1,0.25,NULL,NULL
NULL,النبأ,582,1,583,0.54,0.25,NULL,NULL
NULL,النازعات,583,0.46,584,1,0.25,NULL,NULL
NULL,عبس,585,1,585,1,0.17,NULL,NULL
NULL,التكوير,586,1,586,1,0.17,NULL,NULL
NULL,الانفطار,587,0.77,587,0.77,0.12,NULL,NULL
NULL,المطففين,587,0.23,589,0.08,0.21,NULL,NULL
NULL,الانشقاق,589,0.92,589,0.92,0.17,NULL,NULL
NULL,البروج,590,1,590,1,0.17,NULL,NULL
NULL,الطارق,591,0.46,591,0.46,0.08,NULL,NULL
NULL,الأعلى,591,0.54,592,0.15,0.12,NULL,NULL
NULL,الغاشيه,592,0.85,592,0.85,0.12,NULL,NULL
NULL,الفجر,593,1,594,0.25,0.21,NULL,NULL
NULL,البلد,594,0.75,594,0.75,0.12,NULL,NULL
NULL,الشمس,595,0.58,595,0.58,0.08,NULL,NULL
NULL,الليل,595,0.42,596,0.27,0.12,NULL,NULL
NULL,الضحى,596,0.46,596,0.46,0.08,NULL,NULL
NULL,الشرح,596,0.27,596,0.27,0.04,NULL,NULL
NULL,التين,597,0.36,597,0.36,0.08,NULL,NULL
NULL,العلق,597,0.64,597,0.64,0.08,NULL,NULL
NULL,القدر,598,0.27,598,0.27,0.04,NULL,NULL
NULL,البينه,598,0.73,599,0.18,0.12,NULL,NULL
NULL,الزلزله,599,0.46,599,0.46,0.08,NULL,NULL
NULL,العاديات,599,0.36,600,0.1,0.08,NULL,NULL
NULL,القارعه,600,0.54,600,0.54,0.08,NULL,NULL
NULL,التكاثر,600,0.36,600,0.36,0.08,NULL,NULL
NULL,العصر,601,0.22,601,0.22,0.04,NULL,NULL
NULL,الهمزة,601,0.45,601,0.45,0.08,NULL,NULL
NULL,الفيل,601,0.33,601,0.33,0.04,NULL,NULL
NULL,قريش,602,0.33,602,0.33,0.04,NULL,NULL
NULL,الماعون,602,0.45,602,0.45,0.08,NULL,NULL
NULL,الكوثر,602,0.22,602,0.22,0.04,NULL,NULL
NULL,الكافرون,603,0.34,603,0.34,0.07,NULL,NULL
NULL,النصر,603,0.33,603,0.33,0.03,NULL,NULL
NULL,المسد,603,0.33,603,0.33,0.07,NULL,NULL
NULL,الإخلاص,604,0.22,604,0.22,0.05,NULL,NULL
NULL,الفلق,604,0.33,604,0.33,0.05,NULL,NULL
NULL,الناس,604,0.45,604,0.45,0.07,NULL,NULL
